customer_id,member_since,age,gender,postal_code,city,county,loyalty_tier,email_consent,mobile_app_user,preferred_language,household_size,estimated_income
COOP_000001,2023-12-25,52,F,3026,Wencheeid,Kristiansand,Bronze,True,True,EN,3,529260.3548243223
COOP_000002,2019-12-09,36,M,0475,Kennethfjell,Skien,Silver,True,True,NO,1,471224.52892327786
COOP_000003,2017-05-13,31,M,0433,Oddgrunn,Trondheim,Bronze,False,True,EN,3,338154.4447997063
COOP_000004,2016-11-05,40,F,7560,Johanstrøm,Bergen,Bronze,True,True,NO,3,545524.2145960378
COOP_000005,2021-09-03,61,M,4275,Liveid,Oslo,Bronze,True,True,NO,3,605967.8372094128
COOP_000006,2022-01-21,48,F,9791,Einarbø,Tromsø,Silver,True,False,NO,4,682264.1558422917
COOP_000007,2018-03-14,80,F,1509,Sørensen,Sarpsborg,Bronze,True,True,NO,2,710647.7780526053
COOP_000008,2022-01-21,54,F,2974,Bakken,Kristiansand,Platinum,True,False,EN,2,413991.8997130105
COOP_000009,2023-09-30,41,F,4734,Helland,Kristiansand,Gold,True,False,NO,1,434549.83395008376
COOP_000010,2022-03-14,59,F,8855,Simonsen,Sandnes,Bronze,False,True,NO,2,669339.3195843913
COOP_000011,2023-08-12,44,F,1748,Svendsen,Stavanger,Platinum,True,True,NO,2,694176.0649627533
COOP_000012,2023-11-28,41,M,7657,Audhamn,Bergen,Silver,True,True,NO,2,485969.68089404155
COOP_000013,2017-12-11,59,M,9630,Kristiansen,Sandnes,Gold,True,True,NO,2,518546.1344744503
COOP_000014,2018-04-03,49,M,4341,Theahelle,Tromsø,Silver,True,False,NO,2,589158.2908269834
COOP_000015,2025-03-30,37,F,4177,Ceciliemark,Stavanger,Bronze,False,False,NO,2,464525.7477402395
COOP_000016,2018-12-05,28,M,5974,Elsesjøen,Oslo,Platinum,True,True,NO,3,401112.07308952144
COOP_000017,2020-04-12,50,M,6716,Einarsand,Fredrikstad,Bronze,True,False,NO,4,846185.679543023
COOP_000018,2015-10-30,66,F,3190,Lunde,Oslo,Bronze,True,False,EN,2,339722.3405811578
COOP_000019,2018-08-18,55,F,0952,Steinarhelle,Stavanger,Silver,True,False,NO,5,407279.23740279407
COOP_000020,2020-07-14,39,M,7321,Mathiassjøen,Sandnes,Silver,True,True,NO,5,417173.14392567275
COOP_000021,2019-02-04,19,F,9885,Paulsen,Kristiansand,Platinum,True,True,NO,4,567846.7737843978
COOP_000022,2015-09-01,54,M,3719,Mariusvåg,Tromsø,Gold,True,True,NO,5,732560.6195470166
COOP_000023,2017-03-13,42,M,0739,Brittvær,Sarpsborg,Bronze,True,True,NO,2,259814.47067484254
COOP_000024,2024-07-17,58,M,9249,Lindabø,Trondheim,Silver,True,True,SE,2,693762.0754319947
COOP_000025,2024-11-18,42,M,4493,Elseborg,Oslo,Silver,True,True,NO,2,680824.2789030181
COOP_000026,2017-01-26,45,M,5272,Nilsbø,Kristiansand,Gold,False,False,NO,3,529409.2274353276
COOP_000027,2023-01-15,50,M,4910,Pedersen,Kristiansand,Bronze,True,True,NO,2,557594.471637275
COOP_000028,2019-06-02,27,M,5057,Julievik,Skien,Gold,False,False,NO,2,758440.4242219887
COOP_000029,2015-10-19,58,F,6423,Edvardsen,Sarpsborg,Silver,True,True,NO,1,459414.3441273207
COOP_000030,2022-05-07,42,M,6880,Berge,Trondheim,Bronze,True,True,NO,1,446923.7237001235
COOP_000031,2023-05-03,79,M,8749,Henrikmark,Skien,Gold,True,True,NO,3,269910.22111123777
COOP_000032,2023-02-16,59,M,3239,Johnsen,Kristiansand,Silver,False,True,NO,3,473358.32990695565
COOP_000033,2021-05-09,43,M,5761,Eivindfjell,Skien,Bronze,True,False,NO,3,477067.4071370314
COOP_000034,2018-11-28,26,M,2953,Berntsen,Bergen,Bronze,True,True,EN,3,499824.81462385773
COOP_000035,2021-04-14,77,M,4173,Maritstrand,Sandnes,Bronze,True,True,NO,2,584027.323297118
COOP_000036,2022-08-01,55,M,7505,Hagen,Kristiansand,Bronze,True,False,NO,2,639984.4950566508
COOP_000037,2019-04-26,45,F,7426,Berge,Kristiansand,Silver,True,False,EN,4,902199.5392675484
COOP_000038,2024-06-11,62,F,5561,Idafjord,Trondheim,Silver,True,True,EN,2,629710.0016440494
COOP_000039,2021-10-26,49,M,7585,Hagen,Tromsø,Bronze,True,True,NO,2,456595.07202691096
COOP_000040,2015-07-18,29,F,7160,Mortenbø,Tromsø,Gold,False,True,NO,4,748970.7502478572
COOP_000041,2018-11-18,18,F,5536,Anitaodden,Tromsø,Gold,True,True,NO,4,366914.48435772187
COOP_000042,2023-12-13,35,F,8219,Moen,Stavanger,Gold,True,False,NO,1,348698.90439199656
COOP_000043,2019-02-07,49,F,2090,Karolinevær,Trondheim,Silver,True,True,NO,3,530478.5418448473
COOP_000044,2018-04-26,39,F,4825,Magnusodden,Skien,Bronze,True,True,EN,2,587397.1812432932
COOP_000045,2020-12-07,54,M,2598,Ruud,Sandnes,Silver,True,True,EN,1,753682.1182149982
COOP_000046,2016-01-26,21,F,9014,Audø,Oslo,Gold,True,False,NO,2,561851.3521366084
COOP_000047,2025-01-17,42,M,0624,Kristineås,Sandnes,Silver,False,True,NO,1,829116.7081178748
COOP_000048,2024-10-17,34,M,6957,Brekke,Sarpsborg,Gold,True,True,NO,2,542770.6771696281
COOP_000049,2024-11-04,45,M,1792,Fredriksen,Skien,Bronze,False,True,EN,3,423383.840138688
COOP_000050,2015-10-14,52,F,1970,Arnesen,Sarpsborg,Bronze,True,False,NO,2,558152.5866907857
COOP_000051,2017-10-23,50,F,1171,Wenchevær,Tromsø,Bronze,True,True,NO,3,581424.5293948537
COOP_000052,2022-05-03,24,M,8837,Kristoffersen,Kristiansand,Platinum,False,False,NO,2,466236.94458508596
COOP_000053,2022-08-24,53,M,2511,Tangen,Trondheim,Gold,False,False,NO,2,695578.5730019816
COOP_000054,2022-07-25,62,F,2681,Jorunnsjøen,Oslo,Bronze,False,True,NO,3,479623.6521842943
COOP_000055,2017-06-11,48,F,7519,Knutsen,Kristiansand,Platinum,True,False,EN,4,477343.6462046045
COOP_000056,2016-10-20,40,M,9807,Lunde,Trondheim,Bronze,True,False,NO,1,310131.4791193776
COOP_000057,2020-09-14,18,F,8605,Sanderstrand,Bergen,Gold,True,True,EN,2,509760.54070757306
COOP_000058,2016-10-08,54,F,0861,Adrianfjord,Trondheim,Platinum,True,False,NO,3,755294.7336298523
COOP_000059,2022-06-18,31,F,3481,Malinfoss,Sarpsborg,Silver,False,True,NO,4,567461.6470181135
COOP_000060,2021-03-05,44,M,6644,Sivertsen,Tromsø,Bronze,True,True,NO,3,669460.814454449
COOP_000061,2023-03-08,52,M,1003,Kristinsjøen,Fredrikstad,Silver,True,False,NO,4,240621.14891323756
COOP_000062,2017-10-22,52,F,5140,Knudsen,Trondheim,Bronze,True,True,NO,1,552259.6572368492
COOP_000063,2020-06-11,43,M,6134,Jensen,Bergen,Bronze,True,True,NO,2,394713.65163709386
COOP_000064,2018-09-28,46,M,5173,Evensen,Oslo,Bronze,False,False,NO,2,846019.1337403837
COOP_000065,2016-04-29,40,F,8078,Pettersen,Sandnes,Silver,False,True,NO,1,204711.8252896623
COOP_000066,2023-08-17,58,F,7474,Birkeland,Bergen,Silver,True,True,NO,2,620655.5247127032
COOP_000067,2023-01-15,35,M,9728,Lund,Oslo,Bronze,True,True,NO,2,387767.79945784074
COOP_000068,2019-01-01,68,F,0584,Andersdal,Tromsø,Silver,True,True,NO,3,633346.0359450302
COOP_000069,2017-12-13,18,F,9577,Olsen,Kristiansand,Platinum,True,True,NO,2,691192.6867090713
COOP_000070,2021-06-21,56,M,7147,Hanssen,Fredrikstad,Bronze,True,False,EN,3,571780.6090428188
