customer_id,recency,frequency,monetary,avg_order_value,loyalty_tier,age,household_size,days_since_first_purchase,purchase_frequency_per_month,customer_lifetime_value,cluster,cluster_gmm,final_cluster,segment_name
CUST_012346,326,1,77183.6,77183.6,0,0.0,0.0,326,0.09202453987730061,25057.432914832243,1,1,1,Big Spenders
CUST_012347,2,182,4310.0,23.681318681318682,0,0.0,0.0,367,14.877384196185288,1708.7862619939904,0,0,0,Frequent Buyers
CUST_012348,75,31,1797.24,57.97548387096774,0,0.0,0.0,358,2.5977653631284916,464.6254269240501,0,0,0,Frequent Buyers
CUST_012349,19,73,1757.55,24.076027397260273,0,0.0,0.0,19,115.26315789473685,12009.991997143383,0,0,0,Frequent Buyers
CUST_012350,310,17,334.4,19.670588235294115,0,0.0,0.0,310,1.6451612903225805,13.438865672593195,0,0,0,Frequent Buyers
CUST_012352,36,85,2506.04,29.482823529411764,0,0.0,0.0,297,8.585858585858585,1018.8910381854262,0,0,0,Frequent Buyers
CUST_012353,204,4,89.0,22.25,0,0.0,0.0,204,0.5882352941176471,0.0,0,0,0,Frequent Buyers
CUST_012354,232,58,1079.4,18.610344827586207,0,0.0,0.0,232,7.5,381.0393263005531,0,0,0,Frequent Buyers
CUST_012355,214,13,459.4,35.33846153846154,0,0.0,0.0,214,1.822429906542056,108.74803260837231,0,0,0,Frequent Buyers
CUST_012356,23,59,2811.43,47.65135593220339,0,0.0,0.0,326,5.429447852760736,1012.5580455203578,0,0,0,Frequent Buyers
CUST_012357,33,131,6207.67,47.38679389312977,0,0.0,0.0,33,119.09090909090908,25845.892410050506,0,0,0,Frequent Buyers
CUST_012358,2,19,1168.06,61.47684210526315,0,0.0,0.0,151,3.774834437086093,790.2049758589222,0,0,0,Frequent Buyers
CUST_012359,58,248,6372.58,25.695887096774193,0,0.0,0.0,332,22.40963855421687,2671.4457208256354,0,0,0,Frequent Buyers
CUST_012360,52,129,2662.06,20.63612403100775,0,0.0,0.0,201,19.253731343283583,1691.1438185511881,0,0,0,Frequent Buyers
CUST_012361,287,10,189.9,18.990000000000002,0,0.0,0.0,287,1.0452961672473868,0.0,0,0,0,Frequent Buyers
CUST_012362,3,266,5226.23,19.647481203007516,0,0.0,0.0,296,26.95945945945946,2732.238633157104,0,0,0,Frequent Buyers
CUST_012363,110,23,552.0,24.0,0,0.0,0.0,242,2.8512396694214877,151.881277387876,0,0,0,Frequent Buyers
CUST_012364,8,85,1313.1,15.448235294117646,0,0.0,0.0,112,22.767857142857142,1518.3950709943174,0,0,0,Frequent Buyers
CUST_012365,291,22,641.38,29.153636363636362,0,0.0,0.0,291,2.2680412371134024,111.93767942584927,0,0,0,Frequent Buyers
CUST_012367,4,11,168.9,15.354545454545455,0,0.0,0.0,4,82.5,4330.753743065618,0,0,0,Frequent Buyers
CUST_012370,51,167,3545.69,21.231676646706585,0,0.0,0.0,360,13.916666666666666,1283.5482993297433,0,0,0,Frequent Buyers
CUST_012371,45,63,1887.96,29.96761904761905,0,0.0,0.0,60,31.5,3791.849939716652,0,0,0,Frequent Buyers
CUST_012372,72,52,1298.04,24.962307692307693,0,0.0,0.0,297,5.252525252525253,428.8498122541057,0,0,0,Frequent Buyers
CUST_012373,311,14,364.6,26.042857142857144,0,0.0,0.0,311,1.35048231511254,19.684608563104632,0,0,0,Frequent Buyers
CUST_012374,25,33,742.93,22.513030303030302,0,0.0,0.0,25,39.6,3378.2711656237475,0,0,0,Frequent Buyers
CUST_012375,11,17,457.5,26.91176470588235,0,0.0,0.0,98,5.204081632653061,432.7603180706432,0,0,0,Frequent Buyers
CUST_012377,315,77,1628.12,21.144415584415583,0,0.0,0.0,355,6.507042253521126,358.0562956532993,0,0,0,Frequent Buyers
CUST_012378,130,219,4008.62,18.30420091324201,0,0.0,0.0,130,50.53846153846154,3845.3588882720574,0,0,0,Frequent Buyers
CUST_012379,82,40,852.24,21.306,0,0.0,0.0,170,7.0588235294117645,476.5329443095924,0,0,0,Frequent Buyers
